CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment_Code,Segment,Cluster
10000,139,9,164.72,1,1,2,4,112,Lost,2
10001,138,16,282.2,1,5,4,10,154,At Risk,2
10002,191,10,344.46,1,2,5,8,125,Need Attention,2
10003,4,14,278.1,5,4,4,13,544,Champions,3
10004,48,14,431.96,3,4,5,12,345,Loyal Customers,3
10005,257,9,255.49,1,1,4,6,114,Hibernating,2
10006,2,14,195.98,5,4,2,11,542,Loyal Customers,0
10007,4,18,869.29,5,5,5,15,555,Champions,3
10008,55,11,144.85,3,2,2,7,322,Promising,2
10009,75,11,158.38,2,2,2,6,222,Hibernating,2
10010,52,11,182.65,3,2,2,7,322,Promising,2
10011,40,10,163.1,3,2,2,7,322,Promising,0
10012,117,14,393.19,2,4,5,11,245,At Risk,2
10013,82,12,284.13,2,3,4,9,234,At Risk,2
10014,251,12,178.8,1,3,2,6,132,Hibernating,2
10015,51,12,385.12,3,3,5,11,335,Loyal Customers,3
10016,57,12,220.14,3,3,3,9,333,Loyal Customers,2
10017,30,7,74.95,4,1,1,6,411,New Customers,1
10018,32,15,238.7,4,4,3,11,443,Loyal Customers,3
10019,10,12,133.83,5,3,1,9,531,Loyal Customers,0
10020,57,13,435.54,3,3,5,11,335,Loyal Customers,3
10021,34,15,138.05,3,4,1,8,341,Loyal Customers,0
10022,2,16,278.04,5,5,4,14,554,Champions,3
10023,34,12,164.98,3,3,2,8,332,Loyal Customers,0
10024,165,10,107.25,1,2,1,4,121,Lost,1
10025,79,13,167.03,2,3,2,7,232,Need Attention,2
10026,29,11,271.46,4,2,4,10,424,New Customers,2
10027,161,17,486.98,1,5,5,11,155,At Risk,3
10028,5,12,203.76,5,3,3,11,533,Loyal Customers,0
10029,24,15,415.93,4,4,5,13,445,Champions,3
10030,4,9,124.59,5,1,1,7,511,New Customers,0
10031,15,11,86.35,4,2,1,7,421,New Customers,0
10032,37,8,269.23,3,1,4,8,314,Potential Loyalists,2
10033,67,16,271.9,2,5,4,11,254,At Risk,3
10034,72,14,265.05,2,4,4,10,244,At Risk,2
10035,105,12,454.23,2,3,5,10,235,At Risk,2
10036,71,12,188.25,2,3,2,7,232,Need Attention,2
10037,19,17,301.99,4,5,4,13,454,Champions,3
10038,59,7,143.1,3,1,1,5,311,Promising,1
10039,10,12,140.39,5,3,1,9,531,Loyal Customers,0
10040,8,15,233.54,5,4,3,12,543,Loyal Customers,3
10041,7,13,153.29,5,3,2,10,532,Loyal Customers,0
10042,83,15,445.36,2,4,5,11,245,At Risk,3
10043,67,12,170.17,2,3,2,7,232,Need Attention,2
10044,4,10,224.55,5,2,3,10,523,New Customers,0
10045,100,9,134.35,2,1,1,4,211,Hibernating,1
10046,46,10,81.1,3,2,1,6,321,Promising,1
10047,7,9,183.1,5,1,2,8,512,New Customers,0
10048,102,10,204.79,2,2,3,7,223,Need Attention,2
10049,217,15,292.83,1,4,4,9,144,At Risk,2
10050,63,13,299.99,2,3,4,9,234,At Risk,2
10051,5,11,220.61,5,2,3,10,523,New Customers,0
10052,18,13,261.52,4,3,4,11,434,Loyal Customers,3
10053,128,10,185.18,2,2,2,6,222,Hibernating,2
