CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment_Code,Segment
10000,139,9,164.72,1,1,2,4,112,Lost
10001,138,16,282.2,1,5,4,10,154,At Risk
10002,191,10,344.46,1,2,5,8,125,Need Attention
10003,4,14,278.1,5,4,4,13,544,Champions
10004,48,14,431.96,3,4,5,12,345,Loyal Customers
10005,257,9,255.49,1,1,4,6,114,Hibernating
10006,2,14,195.98,5,4,2,11,542,Loyal Customers
10007,4,18,869.29,5,5,5,15,555,Champions
10008,55,11,144.85,3,2,2,7,322,Promising
10009,75,11,158.38,2,2,2,6,222,Hibernating
10010,52,11,182.65,3,2,2,7,322,Promising
10011,40,10,163.1,3,2,2,7,322,Promising
10012,117,14,393.19,2,4,5,11,245,At Risk
10013,82,12,284.13,2,3,4,9,234,At Risk
10014,251,12,178.8,1,3,2,6,132,Hibernating
10015,51,12,385.12,3,3,5,11,335,Loyal Customers
10016,57,12,220.14,3,3,3,9,333,Loyal Customers
10017,30,7,74.95,4,1,1,6,411,New Customers
10018,32,15,238.7,4,4,3,11,443,Loyal Customers
10019,10,12,133.83,5,3,1,9,531,Loyal Customers
10020,57,13,435.54,3,3,5,11,335,Loyal Customers
10021,34,15,138.05,3,4,1,8,341,Loyal Customers
10022,2,16,278.04,5,5,4,14,554,Champions
10023,34,12,164.98,3,3,2,8,332,Loyal Customers
10024,165,10,107.25,1,2,1,4,121,Lost
10025,79,13,167.03,2,3,2,7,232,Need Attention
10026,29,11,271.46,4,2,4,10,424,New Customers
10027,161,17,486.98,1,5,5,11,155,At Risk
10028,5,12,203.76,5,3,3,11,533,Loyal Customers
10029,24,15,415.93,4,4,5,13,445,Champions
10030,4,9,124.59,5,1,1,7,511,New Customers
10031,15,11,86.35,4,2,1,7,421,New Customers
10032,37,8,269.23,3,1,4,8,314,Potential Loyalists
10033,67,16,271.9,2,5,4,11,254,At Risk
10034,72,14,265.05,2,4,4,10,244,At Risk
10035,105,12,454.23,2,3,5,10,235,At Risk
10036,71,12,188.25,2,3,2,7,232,Need Attention
10037,19,17,301.99,4,5,4,13,454,Champions
10038,59,7,143.1,3,1,1,5,311,Promising
10039,10,12,140.39,5,3,1,9,531,Loyal Customers
10040,8,15,233.54,5,4,3,12,543,Loyal Customers
10041,7,13,153.29,5,3,2,10,532,Loyal Customers
10042,83,15,445.36,2,4,5,11,245,At Risk
10043,67,12,170.17,2,3,2,7,232,Need Attention
10044,4,10,224.55,5,2,3,10,523,New Customers
10045,100,9,134.35,2,1,1,4,211,Hibernating
10046,46,10,81.1,3,2,1,6,321,Promising
10047,7,9,183.1,5,1,2,8,512,New Customers
10048,102,10,204.79,2,2,3,7,223,Need Attention
10049,217,15,292.83,1,4,4,9,144,At Risk
10050,63,13,299.99,2,3,4,9,234,At Risk
10051,5,11,220.61,5,2,3,10,523,New Customers
10052,18,13,261.52,4,3,4,11,434,Loyal Customers
10053,128,10,185.18,2,2,2,6,222,Hibernating
10054,50,13,105.2,3,3,1,7,331,Loyal Customers
10055,7,10,149.21,5,2,2,9,522,New Customers
10056,320,15,639.67,1,4,5,10,145,At Risk
10057,9,9,135.01,5,1,1,7,511,New Customers
10058,94,15,311.72,2,4,4,10,244,At Risk
10059,190,16,256.49,1,5,4,10,154,At Risk
10060,20,13,208.67,4,3,3,10,433,Loyal Customers
10061,75,12,206.58,2,3,3,8,233,At Risk
10062,56,7,153.25,3,1,2,6,312,Promising
10063,331,11,191.1,1,2,2,5,122,Lost
10064,84,14,144.65,2,4,1,7,241,Cant Lose Them
10065,264,7,153.63,1,1,2,4,112,Lost
10066,12,13,220.5,5,3,3,11,533,Loyal Customers
10067,48,13,222.29,3,3,3,9,333,Loyal Customers
10068,14,13,226.09,5,3,3,11,533,Loyal Customers
10069,26,13,298.7,4,3,4,11,434,Loyal Customers
10070,129,13,407.41,2,3,5,10,235,At Risk
10071,13,11,317.26,5,2,4,11,524,New Customers
10072,4,11,259.95,5,2,4,11,524,New Customers
10073,49,18,434.65,3,5,5,13,355,Loyal Customers
10074,10,12,241.45,5,3,3,11,533,Loyal Customers
10075,52,9,118.74,3,1,1,5,311,Promising
10076,26,10,133.7,4,2,1,7,421,New Customers
10077,334,10,286.1,1,2,4,7,124,Need Attention
10078,267,9,208.35,1,1,3,5,113,Hibernating
10079,13,15,252.2,5,4,4,13,544,Champions
10080,26,11,580.21,4,2,5,11,425,New Customers
10081,7,9,90.45,5,1,1,7,511,New Customers
10082,32,14,212.0,4,4,3,11,443,Loyal Customers
10083,217,14,243.14,1,4,3,8,143,At Risk
10084,42,9,99.2,3,1,1,5,311,Promising
10085,36,14,147.95,3,4,2,9,342,Loyal Customers
10086,28,13,228.21,4,3,3,10,433,Loyal Customers
10087,379,8,266.2,1,1,4,6,114,Hibernating
10088,123,8,139.45,2,1,1,4,211,Hibernating
10089,200,7,50.3,1,1,1,3,111,Lost
10090,28,12,207.15,4,3,3,10,433,Loyal Customers
10091,329,16,236.83,1,5,3,9,153,At Risk
10092,133,14,254.13,1,4,4,9,144,At Risk
10093,89,11,157.85,2,2,2,6,222,Hibernating
10094,111,13,374.34,2,3,5,10,235,At Risk
10095,7,15,431.25,5,4,5,14,545,Champions
10096,68,9,221.88,2,1,3,6,213,Hibernating
10097,3,22,584.36,5,5,5,15,555,Champions
10098,5,15,249.92,5,4,3,12,543,Loyal Customers
10099,6,11,278.88,5,2,4,11,524,New Customers
10100,2,14,404.97,5,4,5,14,545,Champions
10101,50,11,312.09,3,2,4,9,324,Potential Loyalists
10102,8,16,239.25,5,5,3,13,553,Loyal Customers
10103,30,10,374.16,4,2,5,11,425,New Customers
10104,27,12,275.42,4,3,4,11,434,Loyal Customers
10105,18,9,108.6,4,1,1,6,411,New Customers
10106,30,21,485.9,4,5,5,14,455,Champions
10107,155,15,451.42,1,4,5,10,145,At Risk
10108,19,13,256.5,4,3,4,11,434,Loyal Customers
10109,120,10,189.32,2,2,2,6,222,Hibernating
10110,48,16,290.38,3,5,4,12,354,Loyal Customers
10111,71,8,100.7,2,1,1,4,211,Hibernating
10112,90,17,273.59,2,5,4,11,254,At Risk
10113,162,9,177.33,1,1,2,4,112,Lost
10114,206,10,169.23,1,2,2,5,122,Lost
10115,390,9,234.83,1,1,3,5,113,Hibernating
10116,16,12,170.33,4,3,2,9,432,Loyal Customers
10117,261,9,312.77,1,1,4,6,114,Hibernating
10118,171,10,121.48,1,2,1,4,121,Lost
10119,84,9,211.33,2,1,3,6,213,Hibernating
10120,61,5,71.75,3,1,1,5,311,Promising
10121,36,15,315.52,3,4,4,11,344,Loyal Customers
10122,144,7,149.11,1,1,2,4,112,Lost
10123,33,12,132.0,3,3,1,7,331,Loyal Customers
10124,4,15,171.89,5,4,2,11,542,Loyal Customers
10125,92,16,267.74,2,5,4,11,254,At Risk
10126,298,10,207.65,1,2,3,6,123,Hibernating
10127,265,12,351.09,1,3,5,9,135,At Risk
10128,96,12,305.89,2,3,4,9,234,At Risk
