customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,rfm_composite,rfm_segment,cluster
1,62,39,11560.38,5,5,5,5-5-5,30,Champions,0
2,45,20,7404.2,5,5,5,5-5-5,30,Champions,0
3,24,39,14959.6,5,5,5,5-5-5,30,Champions,0
4,49,17,5265.13,5,4,5,5-4-5,28,Champions,0
5,12,63,22116.74,5,5,5,5-5-5,30,Champions,0
6,9,42,8796.2,5,5,5,5-5-5,30,Champions,0
7,51,39,15371.38,5,5,5,5-5-5,30,Champions,0
8,78,38,11662.73,4,5,5,4-5-5,27,Champions,0
9,192,19,8329.51,3,5,5,3-5-5,24,Loyal Customers,0
10,1,59,15163.96,5,5,5,5-5-5,30,Champions,0
11,46,54,18645.69,5,5,5,5-5-5,30,Champions,0
12,37,36,11489.52,5,5,5,5-5-5,30,Champions,0
13,75,20,5633.57,4,5,5,4-5-5,27,Champions,0
14,38,18,5577.18,5,5,5,5-5-5,30,Champions,0
15,56,66,21761.29,5,5,5,5-5-5,30,Champions,0
16,48,31,10515.38,5,5,5,5-5-5,30,Champions,0
17,1,14,3850.24,5,4,5,5-4-5,28,Champions,0
18,54,26,12664.26,5,5,5,5-5-5,30,Champions,0
19,15,41,10259.96,5,5,5,5-5-5,30,Champions,0
20,13,27,11195.74,5,5,5,5-5-5,30,Champions,0
21,6,40,14563.62,5,5,5,5-5-5,30,Champions,0
22,29,26,7889.02,5,5,5,5-5-5,30,Champions,0
23,67,30,8571.05,5,5,5,5-5-5,30,Champions,0
24,56,40,12958.86,5,5,5,5-5-5,30,Champions,0
25,50,21,5605.98,5,5,5,5-5-5,30,Champions,0
26,33,36,16051.41,5,5,5,5-5-5,30,Champions,0
27,29,60,14656.51,5,5,5,5-5-5,30,Champions,0
28,9,52,13249.92,5,5,5,5-5-5,30,Champions,0
29,21,30,8900.31,5,5,5,5-5-5,30,Champions,0
30,5,43,14201.43,5,5,5,5-5-5,30,Champions,0
31,12,38,11771.67,5,5,5,5-5-5,30,Champions,0
32,36,50,16580.87,5,5,5,5-5-5,30,Champions,0
33,5,37,9067.17,5,5,5,5-5-5,30,Champions,0
34,23,37,13012.46,5,5,5,5-5-5,30,Champions,0
35,10,35,12328.89,5,5,5,5-5-5,30,Champions,0
36,39,27,8728.92,5,5,5,5-5-5,30,Champions,0
37,68,2,212.04,5,1,2,5-1-2,19,Recent Customers,1
38,39,25,9148.38,5,5,5,5-5-5,30,Champions,0
39,44,35,9927.01,5,5,5,5-5-5,30,Champions,0
40,4,52,14677.47,5,5,5,5-5-5,30,Champions,0
41,8,36,10039.74,5,5,5,5-5-5,30,Champions,0
42,21,30,11091.46,5,5,5,5-5-5,30,Champions,0
43,26,38,9224.67,5,5,5,5-5-5,30,Champions,0
44,27,34,7788.17,5,5,5,5-5-5,30,Champions,0
45,49,34,9788.67,5,5,5,5-5-5,30,Champions,0
46,18,17,3617.39,5,4,5,5-4-5,28,Champions,0
47,36,38,14002.48,5,5,5,5-5-5,30,Champions,0
48,17,49,13665.46,5,5,5,5-5-5,30,Champions,0
49,25,33,8940.95,5,5,5,5-5-5,30,Champions,0
50,36,43,17629.71,5,5,5,5-5-5,30,Champions,0
51,28,40,8147.42,5,5,5,5-5-5,30,Champions,0
52,9,34,11609.0,5,5,5,5-5-5,30,Champions,0
53,92,32,8690.07,4,5,5,4-5-5,27,Champions,0
54,53,18,4531.07,5,5,5,5-5-5,30,Champions,0
55,11,36,9130.36,5,5,5,5-5-5,30,Champions,0
56,23,43,13678.23,5,5,5,5-5-5,30,Champions,0
57,22,60,20844.34,5,5,5,5-5-5,30,Champions,0
58,370,2,556.77,2,1,3,2-1-3,11,Hibernating,1
59,36,57,19630.17,5,5,5,5-5-5,30,Champions,0
60,76,38,12343.04,4,5,5,4-5-5,27,Champions,0
61,28,53,17114.29,5,5,5,5-5-5,30,Champions,0
62,19,34,9999.72,5,5,5,5-5-5,30,Champions,0
63,29,35,12563.41,5,5,5,5-5-5,30,Champions,0
64,43,19,5640.72,5,5,5,5-5-5,30,Champions,0
65,59,56,17765.67,5,5,5,5-5-5,30,Champions,0
66,53,55,14402.77,5,5,5,5-5-5,30,Champions,0
67,92,31,10245.52,4,5,5,4-5-5,27,Champions,0
68,5,34,13528.73,5,5,5,5-5-5,30,Champions,0
69,51,41,17016.74,5,5,5,5-5-5,30,Champions,0
70,15,52,15304.8,5,5,5,5-5-5,30,Champions,0
71,19,44,13127.96,5,5,5,5-5-5,30,Champions,0
72,15,44,15258.75,5,5,5,5-5-5,30,Champions,0
73,27,10,1793.43,5,4,4,5-4-4,27,Champions,0
74,23,9,2594.31,5,3,4,5-3-4,25,Loyal Customers,0
75,16,32,9018.81,5,5,5,5-5-5,30,Champions,0
76,22,31,11829.43,5,5,5,5-5-5,30,Champions,0
77,30,44,13437.49,5,5,5,5-5-5,30,Champions,0
78,28,30,10502.16,5,5,5,5-5-5,30,Champions,0
79,50,8,2978.29,5,3,5,5-3-5,26,Loyal Customers,0
80,37,36,11157.03,5,5,5,5-5-5,30,Champions,0
81,18,50,16128.0,5,5,5,5-5-5,30,Champions,0
82,28,53,11993.34,5,5,5,5-5-5,30,Champions,0
83,17,51,12241.12,5,5,5,5-5-5,30,Champions,0
84,20,48,13255.6,5,5,5,5-5-5,30,Champions,0
85,39,31,7304.01,5,5,5,5-5-5,30,Champions,0
86,26,40,15660.77,5,5,5,5-5-5,30,Champions,0
87,5,36,12759.93,5,5,5,5-5-5,30,Champions,0
88,21,51,13563.1,5,5,5,5-5-5,30,Champions,0
89,17,29,10557.43,5,5,5,5-5-5,30,Champions,0
90,13,43,9631.79,5,5,5,5-5-5,30,Champions,0
91,57,15,4357.18,5,4,5,5-4-5,28,Champions,0
92,26,27,5245.31,5,5,5,5-5-5,30,Champions,0
93,16,24,8360.0,5,5,5,5-5-5,30,Champions,0
94,17,50,13594.0,5,5,5,5-5-5,30,Champions,0
95,161,6,641.34,3,3,3,3-3-3,18,Loyal Customers,0
96,10,46,14460.34,5,5,5,5-5-5,30,Champions,0
97,8,27,10946.75,5,5,5,5-5-5,30,Champions,0
98,37,47,13666.84,5,5,5,5-5-5,30,Champions,0
99,54,25,7967.88,5,5,5,5-5-5,30,Champions,0
100,52,24,7201.42,5,5,5,5-5-5,30,Champions,0
101,27,24,10404.03,5,5,5,5-5-5,30,Champions,0
102,29,35,9289.75,5,5,5,5-5-5,30,Champions,0
103,23,31,7869.13,5,5,5,5-5-5,30,Champions,0
104,27,35,16019.07,5,5,5,5-5-5,30,Champions,0
105,49,15,3413.4,5,4,5,5-4-5,28,Champions,0
106,43,35,10927.67,5,5,5,5-5-5,30,Champions,0
