order_id,customer_id,order_date,quantity,unit_price,total_amount,product_category,country,true_segment
25194,1698,2022-01-01,1,24.7,24.7,Clothing,Brazil,Hibernating
25639,1871,2022-01-02,3,11.09,33.27,Books,UK,Hibernating
26007,2016,2022-01-03,1,11.3,11.3,Books,France,Hibernating
25883,1965,2022-01-03,2,17.65,35.3,Toys,USA,Hibernating
25173,1689,2022-01-03,1,33.78,33.78,Clothing,USA,Hibernating
25921,1982,2022-01-03,5,31.86,159.3,Home & Garden,USA,Hibernating
25053,1644,2022-01-04,2,37.23,74.46,Sports,Canada,Hibernating
25152,1682,2022-01-05,1,28.9,28.9,Sports,Australia,Hibernating
26131,2068,2022-01-05,4,15.03,60.12,Toys,USA,Hibernating
26076,2044,2022-01-05,1,42.13,42.13,Home & Garden,UK,Hibernating
26118,2061,2022-01-05,2,19.95,39.9,Beauty,Brazil,Hibernating
25338,1761,2022-01-05,1,6.71,6.71,Books,Canada,Hibernating
25710,1896,2022-01-05,3,12.99,38.97,Food,UK,Hibernating
24568,1569,2022-01-06,3,40.86,122.58,Home & Garden,USA,At Risk
26245,2118,2022-01-07,2,22.45,44.9,Beauty,Germany,Hibernating
25010,1628,2022-01-07,4,125.4,501.6,Electronics,USA,Hibernating
25310,1747,2022-01-08,1,36.37,36.37,Sports,UK,Hibernating
25081,1655,2022-01-08,2,20.12,40.24,Beauty,USA,Hibernating
25013,1628,2022-01-08,1,8.5,8.5,Food,USA,Hibernating
25676,1883,2022-01-08,1,10.48,10.48,Food,USA,Hibernating
25987,2009,2022-01-08,5,32.1,160.5,Sports,USA,Hibernating
25146,1680,2022-01-09,1,18.21,18.21,Beauty,USA,Hibernating
25072,1652,2022-01-10,1,39.11,39.11,Home & Garden,UK,Hibernating
25697,1892,2022-01-10,4,34.61,138.44,Sports,USA,Hibernating
26017,2019,2022-01-10,2,30.92,61.84,Home & Garden,Canada,Hibernating
25490,1819,2022-01-10,4,115.48,461.92,Electronics,Australia,Hibernating
26121,2063,2022-01-10,1,11.26,11.26,Books,UK,Hibernating
25924,1983,2022-01-10,1,43.02,43.02,Home & Garden,USA,Hibernating
25803,1931,2022-01-10,1,126.06,126.06,Electronics,UK,Hibernating
25815,1937,2022-01-11,3,8.56,25.68,Books,USA,Hibernating
25579,1851,2022-01-11,1,95.3,95.3,Electronics,USA,Hibernating
25315,1750,2022-01-12,1,86.5,86.5,Electronics,USA,Hibernating
26182,2090,2022-01-12,1,22.3,22.3,Beauty,Germany,Hibernating
25326,1755,2022-01-12,2,22.74,45.48,Beauty,UK,Hibernating
25136,1676,2022-01-12,1,14.14,14.14,Food,USA,Hibernating
25858,1954,2022-01-13,3,13.63,40.89,Food,UK,Hibernating
25311,1747,2022-01-13,1,10.23,10.23,Books,USA,Hibernating
25543,1838,2022-01-13,1,18.93,18.93,Beauty,UK,Hibernating
26087,2047,2022-01-13,2,26.49,52.98,Home & Garden,France,Hibernating
25903,1974,2022-01-13,1,128.28,128.28,Electronics,Australia,Hibernating
25019,1632,2022-01-14,1,22.58,22.58,Clothing,UK,Hibernating
25463,1809,2022-01-14,4,32.05,128.2,Home & Garden,Canada,Hibernating
26089,2048,2022-01-14,1,35.52,35.52,Home & Garden,Brazil,Hibernating
25691,1889,2022-01-15,2,30.66,61.32,Clothing,USA,Hibernating
25842,1949,2022-01-15,5,20.96,104.8,Clothing,Australia,Hibernating
25094,1660,2022-01-16,1,28.45,28.45,Clothing,USA,Hibernating
21900,1221,2022-01-17,1,13.37,13.37,Books,France,At Risk
23044,1364,2022-01-17,3,18.44,55.32,Food,USA,At Risk
26029,2026,2022-01-17,1,40.51,40.51,Home & Garden,Brazil,Hibernating
25469,1811,2022-01-17,1,6.89,6.89,Books,Canada,Hibernating
26184,2091,2022-01-17,1,37.03,37.03,Home & Garden,USA,Hibernating
21405,1164,2022-01-17,1,175.77,175.77,Electronics,Australia,At Risk
25483,1817,2022-01-17,4,11.43,45.72,Food,Canada,Hibernating
25584,1852,2022-01-17,1,14.07,14.07,Food,USA,Hibernating
23269,1395,2022-01-18,2,30.14,60.28,Clothing,France,At Risk
26094,2051,2022-01-18,2,28.0,56.0,Sports,USA,Hibernating
25910,1976,2022-01-18,1,7.1,7.1,Books,USA,Hibernating
25630,1868,2022-01-18,2,6.79,13.58,Books,France,Hibernating
25521,1831,2022-01-18,1,81.78,81.78,Electronics,Australia,Hibernating
25728,1902,2022-01-18,4,15.54,62.16,Beauty,USA,Hibernating
25512,1828,2022-01-18,2,33.13,66.26,Clothing,Germany,Hibernating
25860,1954,2022-01-19,3,16.74,50.22,Beauty,UK,Hibernating
25441,1801,2022-01-19,3,12.3,36.9,Toys,Canada,Hibernating
25466,1810,2022-01-19,3,9.62,28.86,Books,France,Hibernating
26181,2090,2022-01-20,2,26.39,52.78,Sports,USA,Hibernating
25369,1774,2022-01-20,1,22.22,22.22,Clothing,France,Hibernating
25198,1699,2022-01-20,1,41.25,41.25,Home & Garden,Australia,Hibernating
25913,1978,2022-01-20,1,8.07,8.07,Books,USA,Hibernating
24593,1572,2022-01-20,1,25.37,25.37,Beauty,USA,At Risk
25026,1635,2022-01-20,1,19.88,19.88,Beauty,France,Hibernating
21472,1172,2022-01-20,3,12.85,38.55,Books,India,At Risk
25495,1821,2022-01-21,1,13.02,13.02,Food,USA,Hibernating
25420,1791,2022-01-21,1,11.48,11.48,Books,Germany,Hibernating
23647,1449,2022-01-21,2,31.39,62.78,Clothing,UK,At Risk
25732,1904,2022-01-21,5,43.89,219.45,Home & Garden,UK,Hibernating
24109,1509,2022-01-21,1,42.29,42.29,Clothing,USA,At Risk
26239,2116,2022-01-22,2,15.42,30.84,Beauty,Canada,Hibernating
25361,1770,2022-01-22,1,90.98,90.98,Electronics,France,Hibernating
21291,1147,2022-01-22,1,9.26,9.26,Books,France,At Risk
25320,1752,2022-01-23,3,131.32,393.96,Electronics,UK,Hibernating
25061,1647,2022-01-23,1,117.32,117.32,Electronics,Canada,Hibernating
23755,1462,2022-01-23,1,36.26,36.26,Clothing,Canada,At Risk
26126,2065,2022-01-23,4,25.76,103.04,Clothing,Germany,Hibernating
22773,1327,2022-01-24,2,36.22,72.44,Clothing,USA,At Risk
25259,1725,2022-01-24,2,30.93,61.86,Home & Garden,Germany,Hibernating
26258,2122,2022-01-24,2,25.24,50.48,Clothing,Canada,Hibernating
25721,1899,2022-01-24,3,23.44,70.32,Sports,UK,Hibernating
